Date,Day of Week,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range
2020/4/2,Thursday,0.0534619864304591,0.968813951836878,0.5294632260830184,0.9776842692113158,0.9743369095930132,0.0007927122430371,0.1069239728609182
2020/4/3,Friday,0.0534241534212629,0.939458613413725,0.5278660798543884,0.9775460959749078,0.974178010371144,0.0007948645702557,0.1068483068425258
2020/4/6,Monday,0.0550175238059625,1.002775490290372,0.5367428364367208,0.9850448913812004,0.9828016250883804,0.0005597808926416,0.110035047611925
2020/4/7,Tuesday,0.0516381069847905,1.0714359995158402,0.5352320332757616,0.9788755816185728,0.9757069188613589,0.0007042531876045,0.103276213969581
2020/4/8,Wednesday,0.0555183167988769,1.0090748747005185,0.5308832854962279,0.980935297120588,0.9780755916886764,0.0007300276218699,0.1110366335977538
2020/4/9,Thursday,0.0499285217384504,0.9648091619870726,0.5302079264774774,0.9711892630895066,0.9668676525529326,0.0008983230397974,0.0998570434769008
2020/4/10,Friday,0.0497919533182667,0.8640872631835474,0.5314001468997762,0.9847339326855276,0.9824440225883568,0.0004633054107303,0.0995839066365334
2020/4/13,Monday,0.0513462996223622,0.8009319542523,0.5393234813261277,0.9442591514753618,0.935898024196666,0.0018666657347261,0.1026925992447244
2020/4/14,Tuesday,0.0540485399212083,1.1329439631745994,0.5551193828492151,0.9701904859105286,0.9657190587971078,0.001102752769821,0.1080970798424166
2020/4/15,Wednesday,0.0563492513966035,1.0315223845846473,0.5536517861059387,0.9744215294215284,0.9705847588347576,0.0010173350896085,0.112698502793207
2020/4/16,Thursday,0.0546512402425403,1.0760247048676883,0.5493389136297243,0.9762909306331924,0.9727345702281712,0.0008879673919451,0.1093024804850806
2020/4/17,Friday,0.0544946232169651,0.92960343477185,0.5480272839535866,0.9756174879373584,0.971960111127962,0.0008991785217526,0.1089892464339302
2020/4/20,Monday,0.058017906896205,1.2298643941018603,0.5194126791529416,0.9465822092009448,0.9385695405810864,0.0023461758045338,0.11603581379241
2020/4/21,Tuesday,0.0569864409327104,1.066763596608015,0.5178120325808461,0.9843822228428682,0.9820395562692984,0.0006303698580264,0.1139728818654208
2020/4/22,Wednesday,0.0583977245951203,1.042745759123226,0.5172364848516472,0.977126808702861,0.97369583000829,0.0009751305982478,0.1167954491902406
2020/4/23,Thursday,0.0575764338586097,0.9130211712559873,0.5125569736323118,0.9711640062088448,0.9668386071401716,0.0011910296241821,0.1151528677172194
2020/4/24,Friday,0.0557730520946912,0.9668369760016178,0.508076104405132,0.9822636882257044,0.97960324145956,0.0006823916078937,0.1115461041893824
2020/4/27,Monday,0.058754613179608,1.0734691283148807,0.5136421188785232,0.9790462338687078,0.975903168949014,0.0009043401560315,0.117509226359216
2020/4/28,Tuesday,0.0603849783109594,1.026526609389821,0.5077514358781515,0.9840147038659052,0.9816169094457908,0.0007227471623607,0.1207699566219188
2020/4/29,Wednesday,0.0606796702959327,1.0081853570643329,0.4952049757493609,0.975161036328418,0.9714351917776808,0.0011428604050942,0.1213593405918654
2020/4/30,Thursday,0.0598333943467407,1.013404781092473,0.4851926525963121,0.9782220137951804,0.9749553158644572,0.0009715779038215,0.1196667886934814
2020/5/1,Friday,0.0655456509394401,0.8745943509706188,0.5096615057647952,0.97934155174937,0.9762427845117756,0.001093325759341,0.1310913018788802
2020/5/4,Monday,0.0656691858545991,1.044160541139319,0.5204970530443791,0.9789887783697792,0.9758370951252462,0.0011306648123674,0.1313383717091982
2020/5/5,Tuesday,0.0665147840165511,1.0770798204864618,0.5204460191972939,0.973594672200288,0.9696338730303312,0.0014690663883816,0.1330295680331022
2020/5/6,Wednesday,0.0674347209688852,1.0325375805463612,0.514774260526741,0.9844364133143668,0.9821018753115216,0.0008775657360273,0.1348694419377704
2020/5/7,Thursday,0.0686026635388339,0.949129140422184,0.5086667409092427,0.9763656467755184,0.972820493791846,0.0013822660180864,0.1372053270776678
2020/5/8,Friday,0.0700438056403915,0.887299318539142,0.5065331702380471,0.9847323627773852,0.9824422171939928,0.0009185895328461,0.140087611280783
2020/5/11,Monday,0.0640913131476793,1.111664935861128,0.5078746928806834,0.9789770936909744,0.9758236577446208,0.0010823489022888,0.1281826262953586
2020/5/12,Tuesday,0.0694932274983607,1.0473586327780229,0.5050646620284525,0.9809716691071813,0.9781174194732584,0.0011446184022312,0.1389864549967214
2020/5/13,Wednesday,0.07286134720226,0.9918430763387583,0.5029680540447511,0.9797236561129088,0.9766822045298452,0.0013372797589108,0.14572269440452
2020/5/14,Thursday,0.0695357326146217,0.9906080320403834,0.5016775966104928,0.977874366167783,0.9745555210929504,0.0013314714187326,0.1390714652292434
