Date,Day of Week,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range
2020/1/2,Thursday,0.1235733818949017,1.1646230559633273,0.475301589924652,0.9755069638764658,0.9718330084579356,0.004719278130767,0.2471467637898034
2020/1/3,Friday,0.1249916096614954,1.0342467157489048,0.4649171256077798,0.975464662273459,0.9717843616144778,0.0047971575400305,0.2499832193229908
2020/1/6,Monday,0.1581731920770845,1.2705506883063082,0.4627830446067991,0.9623242670098048,0.9566729070612756,0.0121208740238701,0.316346384154169
2020/1/7,Tuesday,0.1657472980676461,1.2924739424959517,0.4543512864042879,0.9583087591008708,0.9520550729660012,0.014803457912354,0.3314945961352922
2020/1/8,Wednesday,0.1691564692904333,1.2672882363076847,0.4571712997260458,0.9541678940835036,0.947293078196029,0.017005438779722,0.3383129385808666
2020/1/9,Thursday,0.1669750099535843,1.2422892328508874,0.4491825372579565,0.9532795901866422,0.9462715287146386,0.016887209123987,0.3339500199071686
2020/1/10,Friday,0.1585911863051442,1.1781370719435091,0.443330315276551,0.9373236998564788,0.9279222548349504,0.0207163195212669,0.3171823726102884
2020/1/13,Monday,0.1684375543400678,1.2260015930978247,0.4561841594763572,0.9436981746228528,0.9352529008162808,0.0209022787013495,0.3368751086801356
2020/1/14,Tuesday,0.1698170852027561,1.2839616631985036,0.4489980326432334,0.951190048992748,0.9438685563416602,0.0183223646082161,0.3396341704055122
2020/1/15,Wednesday,0.1743597878901665,1.2879910712458675,0.4541129214133198,0.9535808446430636,0.9466179713395232,0.0183266508350747,0.348719575780333
2020/1/16,Thursday,0.1706616990568769,1.2360354678675198,0.4464493897338542,0.9501685646367408,0.942693849332252,0.0188718188056373,0.3413233981137538
2020/1/17,Friday,0.1445832275266336,1.153519756218976,0.4399184120687758,0.9390914475085896,0.929955164634878,0.0166780095702499,0.2891664550532672
2020/1/21,Tuesday,0.1686549496771912,1.283852377313318,0.4431616713721438,0.9515646996795089,0.944299404631435,0.0179265842641698,0.3373098993543824
2020/1/22,Wednesday,0.1653363829656277,1.2635202454299266,0.4379607597837454,0.9485489127460764,0.940831249657988,0.0183427563579754,0.3306727659312554
2020/1/23,Thursday,0.1695079496131575,1.2864804417025937,0.4420098122654756,0.9505482273223084,0.9431304614206544,0.0185102080915032,0.339015899226315
2020/1/24,Friday,0.1557880333881964,1.1123845819821048,0.4405860001872319,0.9259323675900014,0.9148222227285016,0.023822398669736,0.3115760667763928
2020/1/27,Monday,0.1667510923326838,1.2644408247833716,0.4532809140542119,0.9476286538061076,0.939772951877024,0.0190109435540444,0.3335021846653676
2020/1/28,Tuesday,0.176790985789433,1.2768739152619883,0.4495240901006187,0.9522021891218684,0.9450325174901488,0.0194198563382375,0.353581971578866
2020/1/29,Wednesday,0.1722455077912506,1.2927317842705337,0.4473329483542121,0.9469113979486968,0.9389481076410016,0.0206026565142262,0.3444910155825012
2020/1/30,Thursday,0.1750708039162568,1.285268722115286,0.4423163179620918,0.9528263740538424,0.9457503301619188,0.0187894652191056,0.3501416078325136
2020/1/31,Friday,0.1614163730806233,1.1349774663845429,0.4358364939457785,0.926598631220045,0.9155884259030518,0.0253613767296475,0.3228327461612466
2020/2/3,Monday,0.1554797746494662,1.1462747443253245,0.4304507927952867,0.943596558708898,0.9351360425152326,0.0177673307067805,0.3109595492989324
2020/2/4,Tuesday,0.1583469589680275,1.2378595463516149,0.438317824061046,0.9486731108944412,0.9409740775286076,0.0167619576625206,0.316693917936055
2020/2/5,Wednesday,0.1629761883994153,1.279505096920685,0.4558036757268745,0.9484033183202164,0.9406638160682488,0.0178884551649818,0.3259523767988306
2020/2/6,Thursday,0.1592823775046077,1.2262375884931913,0.4512242456699576,0.9537127252416336,0.9467696340278786,0.0152058594861526,0.3185647550092154
2020/2/7,Friday,0.1393961913804625,1.1688495498539406,0.4152673601061515,0.9542813581977188,0.9474235619273766,0.0114613418453298,0.278792382760925
2020/2/10,Monday,0.1505771163271,1.1979161357197836,0.4249012402176871,0.9471814299670404,0.9392586444620964,0.0155910357901279,0.3011542326542
2020/2/11,Tuesday,0.1690250038088648,1.2689828461113482,0.4455733464299048,0.952029666742273,0.944834116753614,0.0178123903595574,0.3380500076177296
2020/2/12,Wednesday,0.1641715077510008,1.2619231561425914,0.4388736460876791,0.9476800575304692,0.9398320661600394,0.0184061494134104,0.3283430155020016
2020/2/13,Thursday,0.1642748120956642,1.1810788314637537,0.4067526546655421,0.9615595186774124,0.9557934464790244,0.0132912375613507,0.3285496241913284
2020/2/14,Friday,0.1368831579604796,1.013522583862631,0.3968859600370619,0.9292019506018424,0.9185822431921188,0.0174030305557861,0.2737663159209592
2020/2/18,Tuesday,0.1588405899577391,1.2507913646743385,0.4333088990161773,0.9518804509280792,0.9446625185672912,0.0157689801313163,0.3176811799154782
2020/2/19,Wednesday,0.1580288905825271,1.3454599742376558,0.403071326999659,0.9512781792746784,0.94396990616588,0.0158736904390734,0.3160577811650542
2020/2/20,Thursday,0.1490307146204101,1.180937901883743,0.4057912070693499,0.9489478244330382,0.941289998097994,0.0147207845741163,0.2980614292408202
2020/2/21,Friday,0.1379285755548681,1.0889740898433795,0.3992999708940044,0.9408645609079768,0.9319942450441732,0.0146506049525361,0.2758571511097362
2020/2/24,Monday,0.1545449281676499,1.3448918934731278,0.4069349359527982,0.9467875140921528,0.9388056412059756,0.0166590865077634,0.3090898563352998
2020/2/25,Tuesday,0.1000867958094974,1.399624368640631,0.3974855304103398,0.9537992440127644,0.9468691306146793,0.0060316375823789,0.2001735916189948
