Date,Day of Week,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range,Time,Time1,Time2
2020-04-27,Monday,0.0612055408176859,1.100492974847351,0.5201910076543583,0.9764481862046872,0.9729154141353904,0.001107902661839,0.1224110816353718,4.028424626051798,12.971575373948202,12:58
2020-04-28,Tuesday,0.0625421453038214,1.0644394006137958,0.5139724512552362,0.981405464670048,0.9786162843705551,0.0009065929676932,0.1250842906076428,3.896448221277577,13.103551778722425,13:06
2020-04-29,Wednesday,0.0622575860454808,1.037692092638023,0.5018700606488629,0.9707001200426456,0.9663051380490424,0.0014285981294409,0.1245151720909616,3.7985379968664303,13.20146200313357,13:12
2020-04-30,Thursday,0.0617895590661733,1.0415904701528866,0.4911838406797086,0.976116442225964,0.9725339085598588,0.0011410072370043,0.1235791181323466,3.812808256051593,13.187191743948407,13:11
2020-05-01,Friday,0.0674463523248295,0.8877275549607669,0.5158892781351727,0.9771371286557436,0.9737076979541052,0.0012853903763606,0.134892704649659,3.24958325529043,13.75041674470957,13:45
2020-05-04,Monday,0.0684147934673881,1.0731334583065255,0.5269559642135145,0.9761897025487504,0.9726181579310628,0.0013973656073565,0.1368295869347762,3.92827337319603,13.07172662680397,13:04
2020-05-05,Tuesday,0.0694764702529411,1.1006040837866882,0.5268084826531506,0.971864297994325,0.9676439426934738,0.0017134665739974,0.1389529405058822,4.028831347400893,12.971168652599108,12:58
2020-05-06,Wednesday,0.0701772437208596,1.057931640430153,0.521010487262361,0.9827219738155506,0.9801302698878832,0.0010587596866251,0.1403544874417192,3.87262615063886,13.12737384936114,13:07
2020-05-07,Thursday,0.0716824975661172,0.9740657419349128,0.5147720014825924,0.9758795941517306,0.9722615332744904,0.0015438143239137,0.1433649951322344,3.565629687684565,13.434370312315435,13:26
2020-05-08,Friday,0.07146299995683,0.9015311262923438,0.5129551311020113,0.9819583448068684,0.9792520965278986,0.0011343649667502,0.14292599991366,3.300112107314497,13.699887892685505,13:41
2020-05-11,Monday,0.0673999693383553,1.1333236224149723,0.5148683618862336,0.9760186361869788,0.9724214316150256,0.0013713786243247,0.1347999386767106,4.148603302493579,12.85139669750642,12:51
2020-05-12,Tuesday,0.0725603872829123,1.070294830179945,0.5110852412760307,0.9786210270499855,0.9754141811074836,0.0014075691927346,0.1451207745658246,3.917882394143296,13.082117605856704,13:04
2020-05-13,Wednesday,0.0753826983643724,1.0175114667639091,0.5085312640097569,0.978397584465089,0.9751572221348525,0.0015299103193081,0.1507653967287448,3.724665530527701,13.275334469472298,13:16
2020-05-14,Thursday,0.0724579586312287,1.018205885418996,0.5063184739884738,0.9759503553052112,0.9723429086009928,0.0015776475321351,0.1449159172624574,3.727207494242944,13.272792505757057,13:16
2020-05-15,Friday,0.0730267903645648,0.875668830596166,0.4939662096432434,0.9731624426816043,0.9691368090838453,0.0017744217110955,0.1460535807291296,3.2054415267202248,13.794558473279777,13:47
2020-05-18,Monday,0.0683197374356828,1.0614813046314835,0.5006440543213035,0.974456852993436,0.9706253809424514,0.0014964029872057,0.1366394748713656,3.8856199225298953,13.114380077470106,13:06
