Date,Day of Week,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range,Time,Time1,Time2
2020-03-16,Monday,0.0965470374873431,1.181300553552044,0.4619116874789429,0.978128803214126,0.9748481236962449,0.0025678549340293,0.1930940749746862,4.324225914625001,12.675774085375,12:40
2020-03-17,Tuesday,0.0868847642422229,1.0623261901108083,0.4720199847112466,0.9791935959780232,0.9760726353747268,0.0019619348590001,0.1737695284844458,3.888712679638661,13.111287320361338,13:06
2020-03-18,Wednesday,0.0833086312869832,1.1623604284558242,0.4789198510015945,0.9801802533656117,0.9772072913704531,0.0017271495720599,0.1666172625739664,4.25489438039263,12.74510561960737,12:44
2020-03-19,Thursday,0.0760520821627691,0.956057970820316,0.4712882080869109,0.9532527938794412,0.9462407129613574,0.0034432827386214,0.1521041643255382,3.499711094584588,13.500288905415411,13:30
2020-03-20,Friday,0.0702149571979621,0.9375618593008668,0.439725177205385,0.957278726535354,0.9508705355156571,0.0026672651482714,0.1404299143959242,3.432004900329704,13.567995099670297,13:34
2020-03-23,Monday,0.0627282846980376,1.0655640575469094,0.4837553930896519,0.9722049076085189,0.9680356437497966,0.0013762569001502,0.1254565693960752,3.900565099611892,13.099434900388108,13:05
2020-03-24,Tuesday,0.0700804622076601,1.3947885120101835,0.4938931774045922,0.9365091396737054,0.9269855106247612,0.0041383533810369,0.1401609244153202,5.105712183846833,11.894287816153168,11:53
2020-03-25,Wednesday,0.0590460906678356,0.8920052712895401,0.4950696124762786,0.906990788361636,0.8930394066158813,0.0043190918299409,0.1180921813356712,3.2652421083644207,13.73475789163558,13:44
2020-03-26,Thursday,0.0624345227997989,1.0403165355979136,0.5053607983658577,0.9824530012042876,0.9798209513849307,0.0008502832158462,0.1248690455995978,3.808144937474804,13.191855062525196,13:11
2020-03-27,Friday,0.0608847790808577,1.09839300965146,0.5104681364142959,0.9812406330898212,0.9784267280532946,0.0008688552161367,0.1217695581617154,4.020737569703117,12.979262430296885,12:58
2020-03-30,Monday,0.0553370512052727,1.108611495778857,0.4975020767967408,0.9837531836199446,0.9813161611629364,0.0006204122616428,0.1106741024105454,4.058142988999214,12.941857011000783,12:56
2020-03-31,Tuesday,0.0601848742465835,1.130971612509772,0.500940376339847,0.9767359836004617,0.9732463811405307,0.0010598469739273,0.120369748493167,4.139993620433463,12.860006379566537,12:51
2020-04-01,Wednesday,0.0626702638614772,1.0766666820227742,0.5241141295268158,0.9820555827874924,0.979363920205616,0.000878610304957,0.1253405277229544,3.9412069636443112,13.058793036355688,13:03
2020-04-02,Thursday,0.0585279159739835,1.0774485994529828,0.5242037151136825,0.9805735064360848,0.9776595324014976,0.0008308880722638,0.117055831947967,3.944069222198782,13.05593077780122,13:03
2020-04-03,Friday,0.0596822406390356,1.0892467375524972,0.5210383655489851,0.981856861040868,0.9791353901969982,0.0008064704003855,0.1193644812780712,3.987257058148608,13.012742941851393,13:00
2020-04-06,Monday,0.0594723676858229,1.0833927652627828,0.5381349031090964,0.984723549793545,0.9824320822625768,0.000672060839185,0.1189447353716458,3.965828219736095,13.034171780263906,13:02
2020-04-07,Tuesday,0.0583195558963021,1.1375009594603027,0.5355964168886259,0.9825378948340072,0.9799185790591084,0.0007428585638628,0.1166391117926042,4.163894710807259,12.83610528919274,12:50
