Date,Day of Week,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range,Time,Time1,Time2
2019-03-13,Wednesday,0.0809125206794111,0.8488207844414359,0.4184088630429762,0.9421580527839384,0.933481760701529,0.0048391523183773,0.1618250413588222,3.107162543788878,13.892837456211122,13:53
2019-03-14,Thursday,0.0824727175691533,0.970174323334925,0.4154633297697538,0.9567681307154344,0.9502833503227496,0.0037348596609949,0.1649454351383066,3.551384902050525,13.448615097949476,13:26
2019-03-15,Friday,0.0835709155885991,0.7421474780151224,0.4151636228965656,0.9133070811432809,0.900303143314773,0.0079140778521595,0.1671418311771982,2.7166781114736804,14.28332188852632,14:16
2019-03-18,Monday,0.0800188963192526,0.9810594647605186,0.4230573959506966,0.9546750463595388,0.9478763033134696,0.0036971687882915,0.1600377926385052,3.59123065552569,13.40876934447431,13:24
2019-03-19,Tuesday,0.0794392853388838,1.0670976878845426,0.4286454874319257,0.93572705319435,0.9260861111735026,0.0053034222815905,0.1588785706777676,3.906179051141422,13.093820948858578,13:05
2019-03-20,Wednesday,0.0844988851715428,0.9136858740573954,0.4107257786265536,0.9364399519176994,0.9269059447053544,0.0058643388155543,0.1689977703430856,3.3446053356578886,13.655394664342111,13:39
2019-03-21,Thursday,0.0770060135577307,1.1053717886836676,0.4102962846957975,0.9659116750791398,0.9607984263410108,0.0025668222339028,0.1540120271154614,4.0462838348367205,12.95371616516328,12:57
2019-03-22,Friday,0.0892250030639136,0.842557224321553,0.4091689768425767,0.9236567765344104,0.912205293014572,0.0079183866365618,0.1784500061278272,3.0842343830369274,13.915765616963071,13:54
2019-03-25,Monday,0.0812033648077922,1.024682540775768,0.4283846470662013,0.9495925408027958,0.9420314219232152,0.0042703084704034,0.1624067296155844,3.7509157036818,13.2490842963182,13:14
2019-03-26,Tuesday,0.0953837419477437,0.8909028304471588,0.4171347969935616,0.9544172644261806,0.9475798540901076,0.005248808485857,0.1907674838954874,3.261206553445199,13.7387934465548,13:44
2019-03-27,Wednesday,0.0910881201304787,0.9642253894851138,0.4113787868969817,0.9522578287960088,0.94509650311541,0.0050528568254909,0.1821762402609574,3.52960845079907,13.47039154920093,13:28
2019-03-28,Thursday,0.0894787677077796,0.8966170240710032,0.4095590827180544,0.9400522919812,0.93106013577838,0.0061702492605796,0.1789575354155592,3.2821237231486364,13.717876276851364,13:43
2019-03-29,Friday,0.0897140539134515,0.8309755438229279,0.4006868153313146,0.9329301783509512,0.922869705103594,0.0069567121913437,0.179428107826903,3.0418389039215823,13.958161096078417,13:57
2019-04-01,Monday,0.0851648180518368,0.955113789813558,0.4126447304104114,0.9505953014733044,0.9431845966943,0.004575782937869,0.1703296361036736,3.4962548598734102,13.50374514012659,13:30
2019-04-02,Tuesday,0.0814359844620211,0.9720295923899802,0.4160559519564894,0.9495000604090535,0.9419250694704115,0.0042869076835493,0.1628719689240422,3.558176232590707,13.441823767409293,13:26
2019-04-03,Wednesday,0.085812839850282,1.017718768211761,0.4062362797340664,0.954704213564284,0.9479098455989264,0.0042602541644058,0.171625679700564,3.725424370680823,13.274575629319177,13:16
2019-04-04,Thursday,0.084291031172494,0.9851199750084484,0.4206216916249415,0.9422648577651376,0.9336045864299082,0.005296153484741,0.168582062344988,3.606094411906657,13.393905588093345,13:23
2019-04-05,Friday,0.089940988494281,0.7917544800532682,0.4111220358035428,0.9280141466926186,0.9172162686965114,0.0075206479786455,0.179881976988562,2.898267701959515,14.101732298040483,14:06
2019-04-08,Monday,0.0900361418989674,0.9127411885292928,0.4187445350982561,0.9400346750732286,0.9310398763342128,0.0062570762521088,0.1800722837979348,3.341147254114196,13.658852745885804,13:39
2019-04-09,Tuesday,0.0882695844042645,0.9352856305699332,0.4132884354006759,0.948464034832997,0.9407336400579466,0.0051314279190992,0.176539168808529,3.423672620084579,13.57632737991542,13:34
2019-04-10,Wednesday,0.0906614518376164,0.9614343144762764,0.4192768878702812,0.9406946084155884,0.9317987996779268,0.006293135413737,0.1813229036752328,3.519391542962545,13.480608457037455,13:28
2019-04-11,Thursday,0.094343085452949,0.909853422064342,0.4230483074286886,0.9477619437336472,0.9399262352936942,0.0059346219755502,0.188686170905898,3.3305764010441816,13.669423598955818,13:40
2019-04-12,Friday,0.0880128367789687,0.8677815043241112,0.4107390823076301,0.93093863439148,0.920579429550202,0.006929035783765,0.1760256735579374,3.1765694665487745,13.823430533451226,13:49
2019-04-15,Monday,0.0801226141054513,0.9997843752490416,0.4408618407689844,0.9228393386079684,0.9112652393991638,0.006536867345525,0.1602452282109026,3.659774382979329,13.340225617020671,13:20
2019-04-16,Tuesday,0.0893217135293013,0.9283341854876092,0.4396944040600843,0.9396161798093344,0.9305586067807344,0.0062112944579754,0.1786434270586026,3.3982264126154536,13.601773587384546,13:36
2019-04-17,Wednesday,0.0920640303229017,1.0141052549138587,0.4357641619940327,0.9569494461159768,0.9504918630333732,0.0046483758777813,0.1841280606458034,3.7121968751051657,13.287803124894834,13:17
2019-04-18,Thursday,0.090069837750389,0.8613477760870084,0.4349266942655629,0.9278971137430426,0.917081680804499,0.0075972933130951,0.180139675500778,3.153018394565544,13.846981605434456,13:50
2019-04-19,Friday,0.0737273791834241,0.5044553884936472,0.4411850837375763,0.9144447215068726,0.9016114297329036,0.0059623589824879,0.1474547583668482,1.8465910789064468,15.153408921093554,15:09
2019-04-22,Monday,0.0724592036956395,0.947911604802844,0.4215869528622353,0.9539081728428924,0.946994398769326,0.0030778209269456,0.144918407391279,3.469890802926508,13.530109197073491,13:31
