Date,Day of Week,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range
2019/2/8,Friday,0.1289954239020744,0.9812409504570422,0.4348800969466486,0.9385085474860452,0.929284829608952,0.0132596858128876,0.2579908478041488
2019/2/11,Monday,0.1259224826950664,1.2614778085364349,0.4575842815801293,0.9565072613539568,0.9499833505570504,0.0089184259322234,0.2518449653901328
2019/2/12,Tuesday,0.1143732700965363,1.2294498773484377,0.4715414835091953,0.965264048874553,0.960053656205736,0.0058140958482828,0.2287465401930726
2019/2/13,Wednesday,0.1315466848918184,1.1355301496144607,0.4612158289208918,0.9651286429149586,0.9598979393522024,0.0076828602428967,0.2630933697836368
2019/2/14,Thursday,0.1323931806895699,1.1776822701573093,0.4523738225159062,0.9611851440387283,0.9553629156445376,0.0087187061864116,0.2647863613791398
2019/2/15,Friday,0.1154812471516888,1.030948727235704,0.4509729258106482,0.9507725176616716,0.9433883953109224,0.0084274602099223,0.2309624943033776
2019/2/19,Tuesday,0.1232288317887682,1.253746139220555,0.4588535106146452,0.966087450408168,0.9610005679693934,0.0065912731211797,0.2464576635775364
2019/2/20,Wednesday,0.1086964584020134,1.1374169785734471,0.4689243704699222,0.96734569798776,0.962447552685924,0.0049013729418713,0.2173929168040268
2019/2/21,Thursday,0.1281433261712021,1.1752027982953823,0.4526449285786036,0.9739231057295772,0.9700115715890136,0.0054149396745012,0.2562866523424042
2019/2/22,Friday,0.120870033301799,1.038104773726621,0.4410337723533682,0.9521575848209948,0.944981222544144,0.0089639334760808,0.241740066603598
2019/2/25,Monday,0.1296961192651879,1.2093916281789396,0.4575181251646316,0.9624309589359964,0.956795602776396,0.008101724733734,0.2593922385303758
2019/2/26,Tuesday,0.1372793291924856,1.2230887025619337,0.4489591517889419,0.9652689913867918,0.9600593400948104,0.00837226700258,0.2745586583849712
2019/2/27,Wednesday,0.1392884153969371,1.1531822843017727,0.4488923164665913,0.96110056788743,0.9552656530705445,0.0096590397226557,0.2785768307938742
2019/2/28,Thursday,0.1342029861267978,1.1637629778984315,0.4402871254243539,0.9606039258273243,0.9546945147014232,0.0090912851346458,0.2684059722535956
2019/3/1,Friday,0.1251941231297547,1.022602092535876,0.4300652346911287,0.950591656578117,0.9431804050648344,0.0099372173939535,0.2503882462595094
2019/3/4,Monday,0.1141531779315475,1.1556469185293858,0.4590889864393362,0.962641677736704,0.9570379293972096,0.006221425936574,0.228306355863095
2019/3/5,Tuesday,0.133062987513365,1.159459901928783,0.4439957536468884,0.9613459519155436,0.955547844702875,0.0087602381341769,0.26612597502673
2019/3/6,Wednesday,0.1294439851304015,1.248029707032542,0.44688234988084,0.9625202424631668,0.9568982788326416,0.0080655948511561,0.258887970260803
2019/3/7,Thursday,0.1302880885078991,1.2348599924432933,0.4381931140956481,0.9659673198663452,0.9608624178462972,0.00738851941904,0.2605761770157982
2019/3/8,Friday,0.1284150353824874,0.967876351661874,0.4258737982839039,0.941558804341548,0.9327926249927804,0.0124361599201668,0.2568300707649748
2019/3/11,Monday,0.1160990567283035,1.176467855533562,0.4467794817632586,0.9582077131064656,0.9519388700724354,0.0072409352274072,0.232198113456607
2019/3/12,Tuesday,0.1289371320649557,1.0739712022934278,0.4323505749439561,0.9627015650560996,0.9571067998145144,0.007884210954487,0.2578742641299114
2019/3/13,Wednesday,0.1088268095806414,1.105179295458937,0.430827487095263,0.9426373401241916,0.9340329411428204,0.0088395358558628,0.2176536191612828
2019/3/14,Thursday,0.1084888718741852,1.1874515120504332,0.4276034687166577,0.9540403332658088,0.94714638325568,0.0069878190715778,0.2169777437483704
2019/3/15,Friday,0.1154642628302387,0.951244324940215,0.4301938962956018,0.926243794436099,0.915180363601514,0.0128829557843873,0.2309285256604774
