county,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range,max,min
29031,0.1522381110040674,1.1634454011471602,0.4502748008960001,0.94145625356377,0.9326746915983354,0.0177382862788114,0.3044762220081348,0.6025127485459333,0.298036904679721
29033,0.1492289815994641,1.2186305385814271,0.427668648301364,0.9491723906668486,0.941548249266876,0.0147206796545028,0.2984579631989282,0.5768976297510767,0.278440383717815
29035,0.1156364358266166,1.129400561324943,0.4008115451683599,0.9562672679369986,0.9497073581275484,0.0075116714559455,0.2312728716532332,0.5164479068358431,0.28517534344622
29037,0.1745464860209854,1.2409354644410029,0.486213756014056,0.9496429696715772,0.9420894151223136,0.0199646939378405,0.3490929720419708,0.6607595538127081,0.3116672798789579
29039,0.1284755356409288,1.1501666711296243,0.4590949277491234,0.957620596344702,0.9512636857964072,0.0089837136646388,0.2569510712818576,0.5875704257812978,0.3306197558488368
29041,0.1610066262683584,1.2139209991856352,0.4335614073232245,0.9463762010308258,0.9383326311854496,0.0181277872085498,0.3220132525367168,0.5945678210819061,0.2725549670502792
29043,0.176103073134502,1.2000508881948022,0.4858223853285786,0.9492761208281304,0.94166753895235,0.020436480138104,0.352206146269004,0.6619254486654714,0.3097200080334089
29045,0.1830543276040847,1.2472840586678386,0.4815752676458054,0.9439587235704112,0.9355525321059732,0.024591535648183,0.3661086552081694,0.6646289035521591,0.2985209543716847
29047,0.1511773913819898,1.1905421045918094,0.4749740276463432,0.9486533864214785,0.9409513943847,0.0152479422657476,0.3023547827639796,0.626150789566315,0.3237966413350011
29049,0.1593870042853978,1.204143316931104,0.4663709799347875,0.956844530314818,0.9503712098620404,0.014133361341244,0.3187740085707956,0.6257577074822047,0.3069841064773883
29051,0.1549927607570601,1.2042891258561192,0.4433676836475433,0.9349073591549374,0.925143463028178,0.0206316808121144,0.3099855215141202,0.5983602157618041,0.2883750807149076
29053,0.1502359200243673,1.2023874627655573,0.4453458071199573,0.9474834065753256,0.9396059175616244,0.0154304268258303,0.3004718400487346,0.5955811915768062,0.2951099040147826
29055,0.1269720148052086,1.1873551420948016,0.4297920256158601,0.9542335215175104,0.9473685497451372,0.0095294475067569,0.2539440296104172,0.5567640374377174,0.3028205550727602
29057,0.1234531809280505,1.1049141855824898,0.4484097826734322,0.9589751183766376,0.9528213861331332,0.007996692064919,0.246906361856101,0.5718629504828681,0.3249570463251388
29059,0.1389555734169142,1.1800900074744871,0.4584042012888654,0.9662669967300666,0.9612070462395764,0.0083041869311598,0.2779111468338284,0.5973597346933044,0.3194490233603039
29061,0.1536934760353593,1.2252864151694498,0.4484326781900416,0.9647640088584,0.95947861018716,0.0106533779630679,0.3073869520707186,0.6021261412316493,0.294739776369989
29063,0.1474714414292698,1.22391843867393,0.4396991633733723,0.9521277235547336,0.9449468820879436,0.0135016347752225,0.2949428828585396,0.5871705373035958,0.2922280749300501
