Date,Day of Week,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019/1/2,Wednesday,0.4955731466048694,0.4988236296698626,0.5062696825137223,0.5025329017264771,0.5024717764394455,0.4997579563186002,0.4891492082261562,0.450663200326371,0.371336704295086,0.3369216618973203,0.3175001154180746,0.3174518622575828,0.3217421354619197,0.3084481799246474,0.2954212229212003,0.3100241597310244,0.3238446334418625,0.3566767166369419,0.3986152130288067,0.4352094906918121,0.4694819313678381,0.4934456380409471,0.5052842491399709,0.5084097733196264
2019/1/3,Thursday,0.5214748624698402,0.5312941630453406,0.5264101426706659,0.530167279962757,0.5303097200702462,0.5272293525131824,0.5088921579299064,0.4690305004692044,0.3532883198127688,0.3062316988378436,0.2931310194832881,0.2856019663445133,0.2875969077805361,0.2751306749571223,0.2630822528825875,0.2853187722536813,0.3139574396543983,0.3351073263475958,0.3670773127050153,0.4038876389021908,0.4416893503490232,0.4688278453812463,0.4844564312494644,0.4926395124195331
2019/1/4,Friday,0.5060382073953821,0.5142636220270552,0.5150860581693166,0.5086669515155313,0.5118519237925745,0.5080595819840696,0.5073292517677642,0.4561346041011821,0.3447355099154473,0.2976216608238719,0.2815208032842702,0.2753417978578918,0.2772081993380028,0.2705098945983729,0.2630763705115166,0.2899041520872552,0.3167105517958899,0.3302639269906296,0.3419055239013122,0.3765850141626382,0.4138543951091879,0.4521376233192203,0.4742149238187109,0.4862298485227513
2019/1/7,Monday,0.5431820160643704,0.5396179610513198,0.5442817251997152,0.5492863688194481,0.5389281667235051,0.5168238116677609,0.3794330099616261,0.3543926065561734,0.3167093711966648,0.2975036381690504,0.2894972370921644,0.2881185132361629,0.2843107129442015,0.2888593454493885,0.2719087947752223,0.2979527903987257,0.3270566781415474,0.3513637133287661,0.3977842187102433,0.4379096192514337,0.4672877135101575,0.5049578754474984,0.5121513033082793,0.5160919922240612
2019/1/8,Tuesday,0.5282324470486566,0.5341853881748836,0.5297465360617721,0.53623979757032,0.5320155508321913,0.5314460734964402,0.5195331823266204,0.4732304415820699,0.3527603450433392,0.3150558513892713,0.298343916140348,0.2958784458743889,0.3035220143739236,0.2928212546344596,0.2902005684154701,0.3097086216502134,0.3411605716797058,0.3623709263127398,0.4238080283786321,0.4592254539258045,0.4954362664815914,0.5290895322132431,0.5446777648133195,0.5474394114625929
2019/1/9,Wednesday,0.5346343525744336,0.539787878762066,0.5327045433438456,0.53817136525442,0.5298458638609034,0.5257593142283176,0.5093137269929544,0.4592427881932935,0.3487897145056497,0.3062459993054577,0.2909286380834724,0.286834762757755,0.2942270457615679,0.2840407275682413,0.2841427238383626,0.3083623031246915,0.3387110523667257,0.367874140964664,0.4235684887106759,0.4596113335065439,0.4995476178964346,0.5336043922615333,0.5419603044166343,0.5425934236565956
2019/1/10,Thursday,0.5336592613023912,0.5410536407801858,0.5341276840196028,0.5290930124870089,0.5267736671752464,0.5260494115166773,0.5115949409580189,0.4694437042559925,0.3481015010857011,0.3059833472177231,0.2958869765416938,0.2882869975789354,0.2970407264553262,0.2830456775949221,0.2772663013293232,0.2949972740028269,0.3235395465240811,0.3522259924973615,0.3886092045995484,0.4338287941046289,0.4840483484498289,0.5212400724126548,0.5314000433614047,0.5276928488084558
2019/1/11,Friday,0.5206197116316644,0.5231642589050544,0.5192421109998947,0.5225165333879052,0.5140911878841911,0.5157288509841874,0.5019047633375787,0.4560922143715378,0.3535586062655424,0.3120774544835411,0.2947062134825872,0.3010137306948981,0.2976322764938033,0.2901518872166982,0.2871085716570871,0.3015066532281275,0.3265771445288417,0.3257302084539821,0.3544366206897105,0.3773447577933039,0.4163277735876707,0.442709042972932,0.4656378083718746,0.4777610406515033
2019/1/14,Monday,0.5579031227317877,0.5525137042649158,0.5533304140693062,0.5510686696224626,0.5496239993687415,0.5403558181007464,0.5185590722137015,0.4651822594095852,0.352274133929828,0.3073907632671578,0.2911840603980612,0.2978686342181054,0.2982093899321348,0.2827996876358857,0.2817729909933139,0.3056547174062553,0.330376333105263,0.3569625265374051,0.4145844509902861,0.4601099720966754,0.4904670043326525,0.5226091559400776,0.5355137368466002,0.5332190125713047
2019/1/15,Tuesday,0.5345746852754335,0.5419588936404734,0.5293483372694078,0.5278935978633421,0.52445900779596,0.5195929204150711,0.5100632037661159,0.4602746631078716,0.3425843353011917,0.2959017645615238,0.2873716481933146,0.2769207505845262,0.2874124694890396,0.2753711577533379,0.2731604358585281,0.2992431490474064,0.3253424518665864,0.3493010213973081,0.3975421460084392,0.4362245351588805,0.4803998473268,0.5251721637573237,0.531032383697789,0.5361339962156472
2019/1/16,Wednesday,0.5306774636385329,0.5296889535404512,0.5189387845168361,0.5201507635530805,0.5163946350710128,0.5183831904005739,0.5073528433740765,0.4605611032385389,0.3472640960664984,0.3050864080383601,0.2904110948103054,0.2921472543301853,0.2887803610656091,0.2836541651656422,0.2825834521371537,0.3042091305446208,0.3357156960295547,0.3665033811654122,0.4163009896630469,0.4513675645132157,0.4943346424221896,0.5242720973417357,0.5403474063885743,0.5386826313132134
