Date,Day of Week,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019/1/2,Wednesday,0.5359164157319043,0.538560004165343,0.5390777643112924,0.5430686829468168,0.5452779527788147,0.5428275579026998,0.5286291995021789,0.4731435396383329,0.4110881302008933,0.3651555922153671,0.3490497941161039,0.3442225894755117,0.3395493885620873,0.3327999761418335,0.3381745753700818,0.3634574843706409,0.3894751822473077,0.4202180016418052,0.4259922290673332,0.4519866186303733,0.4920014134047562,0.5251261578478872,0.5385773518185236,0.5495110338846771
2019/1/3,Thursday,0.5562482494193849,0.5622473907880287,0.5644356473668563,0.5735749522747834,0.5630711984410351,0.5652554298482412,0.5458410567139445,0.4879347361370626,0.4076522099182633,0.3646154045130592,0.3437096873274666,0.332367207647429,0.3230688209260736,0.3204128908442679,0.3296427251612753,0.3527700792766634,0.3844089340274723,0.4017266275759787,0.3986039733286675,0.4350830952243762,0.4753805282134522,0.5019681346083874,0.525696079582327,0.5338447810986596
2019/1/4,Friday,0.5348045228755111,0.5402047067952203,0.5541534656443924,0.5511329581112241,0.5500001851538736,0.5411462669543041,0.5281327013610849,0.4751590814032639,0.4001996823988774,0.3644481301530155,0.3399341480150646,0.324420321931452,0.3195124283503377,0.3185797741414118,0.3349320943937585,0.3582784688118549,0.3877643746167737,0.3976173285572703,0.3934576362610266,0.4148942252824737,0.4601821749231518,0.4880304178463208,0.5194054220795639,0.5254011604915249
2019/1/7,Monday,0.5599657257967087,0.5669747238977111,0.5717310940153724,0.5675436305927166,0.5753055621589085,0.5621167792869555,0.5358417326087309,0.4059416409616893,0.3808790582748391,0.3598184229850329,0.3429873109185708,0.3440867487714347,0.3448340508997235,0.3370242328843846,0.345558446109389,0.3650877788945353,0.396864159740448,0.4287875376486655,0.4300885967863402,0.4581421208151725,0.5062992850873158,0.5475172338284611,0.5542988638677607,0.5500998129767763
2019/1/8,Tuesday,0.5408614195621636,0.5489774268131521,0.5499793976625585,0.5527618990555621,0.5542662097329394,0.5470848152672539,0.5262527641458312,0.4663294103726579,0.3881453934872727,0.3480368881622805,0.3243598585396167,0.321664332317072,0.3169596126355564,0.3145532080748021,0.3246443625868954,0.3425422410407017,0.3697390205854171,0.3948297012887113,0.4005016350961103,0.4590623426501428,0.5114418478305073,0.5390760764132871,0.5590527637634022,0.5644413901894262
2019/1/9,Wednesday,0.5690927106721284,0.5630250440432304,0.5704875124649063,0.5661618606450551,0.5616639262744301,0.5537901857719637,0.5343151485006137,0.4697847933908864,0.4047652279936756,0.3668556229617637,0.3379733484122077,0.3281957839093064,0.3296006850639817,0.3280570232642204,0.337429406752805,0.3644947282815828,0.3848681321650827,0.4136772093383416,0.4102505528307525,0.4682794003379551,0.5211134739100759,0.5518280765292314,0.567181756408447,0.5753923207180555
2019/1/10,Thursday,0.5718216217146375,0.5748974717730121,0.5791367741277277,0.572572166489681,0.5661490034234462,0.5656196863792952,0.5411210987857267,0.4824377948522997,0.4082799841154254,0.3674440404597686,0.3453044654982997,0.3286317356682718,0.3263900209965184,0.3206578296494235,0.330201545681905,0.3566443855438514,0.3824274472197201,0.405025175140538,0.4082162638268904,0.4583025563756571,0.5093136865548031,0.5381831104799245,0.5580013575565864,0.558422555286121
2019/1/11,Friday,0.5443539536732768,0.5421522699521508,0.5407679181642425,0.5420823677842728,0.5440032105701155,0.5384126244842705,0.5183966903323375,0.4616938904147044,0.3949959242672666,0.3599325224583388,0.3355637961359892,0.3234529728295711,0.323966404507745,0.3170954965009159,0.3250756902959599,0.3525870988385997,0.3731856084830224,0.3858586141284463,0.3777311398001245,0.4127616868884748,0.4494190575408054,0.4952137153241504,0.518844587831646,0.5282552104428794
2019/1/14,Monday,0.5935919169910483,0.5964733051908658,0.5937647263962434,0.5967569041175911,0.5998293717267401,0.5889093992656359,0.5744316985749672,0.5628039412972643,0.5248558437415074,0.5002439745038543,0.472781849656392,0.4513075100387186,0.4415717279990986,0.4376781970480189,0.4335289525545754,0.4345358095936158,0.4409378098541742,0.4502483224592236,0.4483835226249631,0.4785492675326045,0.5107522855642748,0.5377683031691594,0.5441025122016322,0.542426070050603
2019/1/15,Tuesday,0.5746527140320127,0.5727272036896387,0.5770523939559469,0.5727832782037894,0.5686145930415554,0.5640814488858369,0.5455691488263639,0.4966886492750674,0.4364126160640553,0.3901776568370826,0.3519671160845041,0.3380984596540496,0.3238987128551522,0.3220719780028045,0.3307399864323169,0.3580492810018471,0.3778098872450172,0.4100939525980064,0.3995461193765767,0.4591780985762971,0.5037252260129077,0.5377407849007467,0.5507921553795679,0.5534304159499303
2019/1/16,Wednesday,0.5473107187834749,0.5534136755331588,0.5507483571652303,0.5433923634011676,0.5405652348806007,0.5432498041261339,0.518013318607032,0.4711084914981341,0.3946440863975326,0.3580368554390611,0.3378819999246164,0.318503643770611,0.3182113655661036,0.319658895689315,0.3251632464392376,0.3509541679201277,0.3791738454245821,0.4074487729982274,0.4021708205959656,0.4611907909005665,0.5181277231958328,0.5478559037214217,0.5623186364197874,0.5681918237920152
