Date,Day of Week,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019/1/2,Wednesday,0.5257486081099323,0.5355037789274579,0.5207625204952855,0.5360307885610665,0.5345049767890733,0.5313679196784611,0.5155134395714476,0.4758491849941733,0.4174196432304776,0.4045692247216713,0.3834552867041046,0.3752353017457179,0.3686100937600836,0.3482447250184755,0.3657279302291798,0.3635605747862639,0.3920498165275265,0.4031196651931873,0.4197465693841875,0.4607972645270022,0.5134096891424628,0.5226947709463624,0.5280761688671785,0.5315121031893938
2019/1/3,Thursday,0.5435195143916639,0.5510551715059072,0.5469523486610013,0.5516913300467241,0.5584086105450417,0.5504498440279864,0.54011418926733,0.4836043783456277,0.4144522007249617,0.3993652518178789,0.3754636887390192,0.3651670141201378,0.3503526186133942,0.3443956567724083,0.3354264377071841,0.3564170208303201,0.3660449778925888,0.372436208206826,0.4140073969254079,0.4652914651112009,0.4794671967173827,0.4955191217623826,0.5295552991182817,0.5244846703618217
2019/1/4,Friday,0.5607001067148178,0.5605651925724061,0.5631962442458408,0.5639596637985584,0.5584107983488223,0.5549290246192616,0.5353420349232334,0.4997201318477456,0.4344785216134797,0.3963481578305166,0.3654627570501175,0.3591842944013293,0.3563736454710831,0.3463946194505221,0.342824551422202,0.3605131540293986,0.3767921598629293,0.3800162246519954,0.3856347366963592,0.4278714083031213,0.4558843734151339,0.493464782452938,0.5149464821177655,0.5283742787468895
2019/1/7,Monday,0.568117187386663,0.5735523687541665,0.5812620445140336,0.5759158655157088,0.5605181751272419,0.5540612979558973,0.3861910603052009,0.3593891001156209,0.3416567753618637,0.3536530562963727,0.3348195557792828,0.3186134369970478,0.3225775184484532,0.3258041783072637,0.3207870352580944,0.339200486521147,0.3727594309224793,0.4104575504945981,0.4537493701922917,0.4886539007959348,0.5298799386102002,0.5515208511282768,0.5680509516752407,0.5603656832475654
2019/1/8,Tuesday,0.5708437518287529,0.5662102609906956,0.5601515455685835,0.5725385927879959,0.5832332392311541,0.562239558748177,0.5446077442553653,0.4673694132550593,0.3601628530019095,0.3305247257582949,0.3094323709823858,0.3154887670789598,0.2966161190058629,0.2898846632201675,0.2960054159693562,0.3287038931846333,0.3616307014258445,0.3925051322256446,0.4371315658713976,0.4830507216026452,0.5112585655745453,0.5534603133323952,0.5769660715272018,0.5724726619778734
2019/1/9,Wednesday,0.5602645208933189,0.5729907990153921,0.5717574263201853,0.5731681216535564,0.5587181558027727,0.564217781090216,0.5424331755430838,0.4568138408978238,0.3601388481991832,0.3252164119799876,0.3107675851227748,0.3022541708538789,0.3077027597204619,0.3037484793461582,0.3085941720628803,0.3447621353003709,0.3638429504536549,0.3943720596283039,0.4374658650157678,0.4874019520677445,0.532203873673949,0.5696773553565069,0.5721097919697428,0.5799752965229696
2019/1/10,Thursday,0.5771783086872747,0.585182407985437,0.5690844463882002,0.5715198088087956,0.5786489688024041,0.5616696480928383,0.5435133257595148,0.4620728539344055,0.3652517785202545,0.3303254924661589,0.3061706258460179,0.2986086257299876,0.3080925351611698,0.3017517662865509,0.3035600634132142,0.3108870234941643,0.3683092079684512,0.3805834665950851,0.4443745828163066,0.4855678971091058,0.5328628718140866,0.5453089617484195,0.5725747168393889,0.5616026401723014
2019/1/11,Friday,0.5456191089734137,0.5523476458170614,0.5471117430464412,0.5547206528375807,0.5566730287974759,0.5534419238637314,0.5467106606183996,0.4829596545043167,0.3844885041617332,0.3354826990408853,0.3197656484021849,0.3187691535920267,0.3154988759954589,0.3140091746690587,0.3223192330694182,0.3505080952176322,0.3785494266244243,0.3876976224261052,0.3956544143984569,0.4392344009302867,0.4703111010391137,0.5048295934965705,0.5230421539168065,0.5435810330612602
2019/1/14,Monday,0.5791331970263699,0.5879867739522011,0.590241329764792,0.5960282117162313,0.5803163617424923,0.5710244626460056,0.5420397554120281,0.4629437118642914,0.3630505767723148,0.3296667895993921,0.3053656060994651,0.3130975150934061,0.3106817003667584,0.3102313152979966,0.2960038868876863,0.3322059557522869,0.3819470826303002,0.3965050487801737,0.4427726761706256,0.5050532126608805,0.5323952971058462,0.5581262638212273,0.5667782056799661,0.5733191744129102
2019/1/15,Tuesday,0.5847365224382862,0.5754393871648871,0.5831279450973142,0.5727379240267026,0.5716180141041899,0.5649711689693099,0.5353748075378439,0.4763508682438194,0.3547099940724989,0.3226438630790427,0.3124327395635904,0.2997437116175179,0.3059130945583133,0.3010099031646333,0.2988417680490512,0.3295041158389924,0.3695441231588071,0.3915416871173085,0.4304938571259491,0.4800948421729443,0.5183636636512008,0.5502865761039949,0.5655026312077003,0.567747529505032
2019/1/16,Wednesday,0.5543412850064913,0.5438208102704327,0.5552530253529123,0.557747573762431,0.5562005784565704,0.5494508524836285,0.5231409532708561,0.4629296902418998,0.3628792692318396,0.3199643925866598,0.3059461829670997,0.2988623792913193,0.3104672914507792,0.2877332451140396,0.2951628828807805,0.3409448794980667,0.3828047417595041,0.4010297082014349,0.4248008835224645,0.4697373355562764,0.5273847192057336,0.5558292845669586,0.5690865065466459,0.5652752458705029
