Date,Day of Week,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019/1/2,Wednesday,0.5289244778703605,0.5265996891503065,0.5321840008077134,0.5264118183560679,0.5331404050038857,0.5267521231018027,0.5099990081380608,0.4860096077397063,0.4228714513421337,0.400670843467579,0.3775049075065735,0.3727911653156097,0.3573473084445828,0.3511675078353815,0.343448375233285,0.3528251176228954,0.3482601051322739,0.4079040833752609,0.4576203881635712,0.482305611865157,0.509147052843978,0.53662684104073,0.5411372185325848,0.5391574199765811
2019/1/3,Thursday,0.5489628718780907,0.5499357746914499,0.5489814490933149,0.5482760281249943,0.5520754764375208,0.5374165040280561,0.5324137592218,0.5022761966406961,0.4449574507530011,0.4139270230118214,0.3885956803503317,0.3708969844017687,0.3634014128327664,0.3575815428037722,0.3550730319243846,0.3413426900317914,0.3567407430732472,0.3937031883760021,0.4462319475880229,0.4561646136671219,0.4823631151564473,0.5074307082519073,0.5141730035231451,0.5244581720331271
2019/1/4,Friday,0.5374684652653902,0.5360952528315371,0.5453000196353136,0.5417357216115913,0.5411279643148821,0.537488634129894,0.5289454576038866,0.4921865176135169,0.4458412563573064,0.4108182249191241,0.385426689165977,0.3754892282381005,0.3736998774377889,0.3636997159047053,0.360072252561924,0.3616838728083442,0.3615443364198919,0.4025086047739993,0.4417577126462147,0.4618559796438817,0.4780951974457997,0.5132713637253479,0.5223029333431893,0.5455569961290339
2019/1/7,Monday,0.5741815613449371,0.5827706948217702,0.5684012164679269,0.5615295843104344,0.5243097057573346,0.4357029394112952,0.4338650464945233,0.407107194775117,0.3806149279840865,0.3571932804199382,0.3547684581381978,0.3481523288516289,0.3615167298748881,0.3437200040594132,0.3420137947595153,0.3449710797666641,0.3633589210501809,0.4311563268083539,0.4732291666252344,0.4968590934595655,0.5268947881730938,0.5526488691874216,0.5592766348764204,0.5499873561312226
2019/1/8,Tuesday,0.5500285030174754,0.5485986888551824,0.5564560124641448,0.5511414181420753,0.5533011373194486,0.5468119862885049,0.5331732348874499,0.4882083951978078,0.4025006084979081,0.3564511951048986,0.3428398443445398,0.3348651345968469,0.3247838874781446,0.3270400499499003,0.3260363779558364,0.3462379565897289,0.3633487804851696,0.4429423431303509,0.4906053754727473,0.5108559309282728,0.5377737795490374,0.5682130685943267,0.5852242333643578,0.5724222620392535
2019/1/9,Wednesday,0.5597652480507063,0.5684125904354098,0.5630583766860271,0.5543087353308551,0.5562286570656629,0.5432980235565606,0.5356207639010555,0.4998173022605276,0.4118686694606553,0.3716514738939031,0.3557160872114814,0.3432597043423236,0.3355099499989035,0.3291149304300642,0.3401659190974665,0.3484348481824084,0.3750907231219788,0.4530088024145625,0.4972324922683865,0.5124730726079042,0.5523208985923656,0.5713037009392237,0.5896480518106132,0.5813777320184018
2019/1/10,Thursday,0.5670204108831589,0.5711851909510512,0.5691416583769524,0.5688355958339315,0.5709705807376829,0.5617018189673437,0.5434385686539138,0.5032447551477673,0.412451600418685,0.3639908897428139,0.3422702803958456,0.3404764667466296,0.3347281478210762,0.3273089865567719,0.3195917154877328,0.3400124414093795,0.3746143883898929,0.4368694074854489,0.4774414676813175,0.4996872178036593,0.523182818600892,0.5507674533173068,0.5640273802951242,0.5683626272406999
2019/1/11,Friday,0.5609360156594699,0.5554042993468351,0.5504054081596284,0.554828423855694,0.5506877636051085,0.5517275775747403,0.5332269990477165,0.4971097565569556,0.4156701331024686,0.3777151042117186,0.3560440357351742,0.3468513351806621,0.3441330549838746,0.3321952345555348,0.3388999101656369,0.3484549530802111,0.3653870972445429,0.4101269184969637,0.4462802648311452,0.4653345415277445,0.4845852759865197,0.5086337314592808,0.5286570494867465,0.5304013558422259
2019/1/14,Monday,0.5746391933533977,0.5730356621391115,0.5760405098712761,0.5666719386715631,0.5626068141995179,0.5552523821933739,0.5256134613818931,0.4833052285970821,0.4044782690159371,0.3655987977231427,0.3450371592793349,0.3331499759936993,0.3382286647850716,0.3263306603190571,0.3223440422033288,0.3415089232010904,0.3673183931218161,0.4364167128149236,0.4908324377961517,0.5202129821697312,0.5381147843620961,0.5591202631846295,0.5718659968241405,0.571244737431711
2019/1/15,Tuesday,0.5687864423834578,0.5604204161862717,0.5688697613477128,0.5626946598575351,0.557256841131934,0.5414133355163525,0.5329180396653697,0.4861246165229385,0.3984587781697661,0.3548082353469976,0.3454502942876111,0.3357545980717162,0.3346506940442791,0.3261033090653833,0.3231052531651174,0.3391554481060636,0.3680781690266581,0.4356143407474663,0.4771724512228481,0.4933685044572858,0.525358754435779,0.5679760717835886,0.5683262023296602,0.5709999357633432
