Threshold,Mean_Variance
50,0.1031514881162741
51,0.09358840254512357
52,0.09641413092607332
53,0.09478055185077378
54,0.09617684526793342
55,0.09701923652946101
56,0.09657829509331897
57,0.09392109506017415
58,0.09554945575631037
59,0.0930837185681496
60,0.09868516655520228
61,0.0939766161262625
62,0.0981110634055043
63,0.09360576852274582
64,0.09803174325001587
65,0.09499182127605992
66,0.09175883583547012
67,0.094276937478726
68,0.09305725927351173
69,0.09694308781578982
70,0.09496116188012821
71,0.09537017867425467
72,0.09535445630825656
73,0.09643650595251693
74,0.09735180191521463
75,0.09617566871241814
76,0.0927127497272557
77,0.09564732296566515
78,0.09612351705206477
79,0.0977068602615212
80,0.09822085893817872
81,0.09559485670634472
82,0.09889240862745083
83,0.09740416825645198
84,0.10017308488005879
85,0.10039105945093361
86,0.10073096952966235
87,0.10015427664136824
88,0.10066063096341887
89,0.10293897037983203
90,0.10528554962721322
91,0.1032006264953472
92,0.10704443986453974
93,0.10791050821347299
94,0.10978639733206161
95,0.11091779251038214
96,0.11390069520665334
97,0.11614452973153024
98,0.11914177630764135
99,0.11733847018418403
100,0.13499523151211973
