Week,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range,Time,Time1,Time2
1.0,0.0926148147424673,0.9083671574170016,0.4278248264363451,0.9879630731940352,0.9861575341731404,0.0012640708528565,0.1852296294849346,3.3251358346407414,13.674864165359258,13:40
2.0,0.1197218771101449,1.091366129006491,0.4062958992189159,0.9685363594521564,0.9638168133699798,0.0057060166250225,0.2394437542202898,3.9950152255523546,13.004984774447646,13:00
3.0,0.1188425913945284,1.08509449234531,0.397899332710918,0.9628795587370196,0.9573114925475724,0.0066696522709378,0.2376851827890568,3.9720575001065783,13.02794249989342,13:01
4.0,0.1165149871515161,1.0970120590919474,0.3901583064630691,0.960645287550296,0.9547420806828404,0.0068178356638792,0.2330299743030322,4.015682512225742,12.98431748777426,12:59
5.0,0.1200871548340541,1.108856325129741,0.3919684829565699,0.9616770283919592,0.9559285826507532,0.0070501100773197,0.2401743096681082,4.059039202431579,12.94096079756842,12:56
6.0,0.1144547293766022,1.0557505120625104,0.4007688912375992,0.9648330529779678,0.959558010924663,0.0058375112462003,0.2289094587532044,3.864641991330609,13.13535800866939,13:08
7.0,0.1177381618273619,1.0253990769315422,0.3857739120687915,0.9629784476551796,0.9574252148034564,0.0065020145014028,0.2354763236547238,3.753538629916997,13.246461370083004,13:14
8.0,0.1078754995587784,1.0768799141638477,0.3695989221169852,0.9675659152071672,0.9627008024882424,0.0047758726324797,0.2157509991175568,3.941987513477703,13.058012486522298,13:03
9.0,0.1022998906474854,1.0871644666075908,0.3591975376104429,0.9737249794606508,0.9697837263797484,0.0034596557115456,0.2045997812949708,3.979634772732623,13.020365227267376,13:01
10.0,0.1133112475149998,1.0676402366843054,0.3603418203750183,0.9636823941867534,0.9582347533147664,0.0059204054409389,0.2266224950299996,3.908165085578491,13.09183491442151,13:05
11.0,0.1047796517090072,1.0029005740431778,0.3706211575753253,0.957941108174662,0.9516322744008614,0.0058716374527614,0.2095593034180144,3.671181427139436,13.328818572860564,13:19
12.0,0.0594074406701861,0.80310465754551,0.4103357943270602,0.9681571636095266,0.9633807381509556,0.0013924794691234,0.1188148813403722,2.93981574957531,14.06018425042469,14:03
13.0,0.0442434363106187,0.7021167347287814,0.4370112479693864,0.9656822458306068,0.9605345827051976,0.0008277881325159,0.0884868726212374,2.5701430260714115,14.429856973928588,14:25
14.0,0.0440472060084965,0.6700117291027502,0.4581751418401221,0.9704497433168302,0.9660172048143548,0.0007012289046317,0.088094412016993,2.452620608173764,14.547379391826237,14:32
15.0,0.0428041537062099,0.6398380271331021,0.4732225181703678,0.9719148236449272,0.9677020471916664,0.0006269492668954,0.0856083074124198,2.342167850317188,14.657832149682813,14:39
16.0,0.0438003880859125,0.6355501902212239,0.4851974289010358,0.9647133310937162,0.9594203307577736,0.0008306837639228,0.087600776171825,2.3264719502041498,14.67352804979585,14:40
17.0,0.0439721989496956,0.7252088063997124,0.4539095229831694,0.9682643759403412,0.9635040323313924,0.000755518134445,0.0879443978993912,2.6546730251826145,14.345326974817386,14:20
18.0,0.0497769175050338,0.6822389570787164,0.4444018016111534,0.9699573073418584,0.9654509034431372,0.0009117912835139,0.0995538350100676,2.497379154945554,14.502620845054446,14:30
19.0,0.0540788518129212,0.7042442646726742,0.4585148661966539,0.9777555619496408,0.9744188962420868,0.0007918744852737,0.1081577036258424,2.5779309849357825,14.422069015064215,14:25
20.0,0.0539577475237407,0.7137760332483813,0.4449642756868683,0.9729669315787424,0.9689119713155536,0.0009634839393631,0.1079154950474814,2.6128226308961136,14.387177369103886,14:23
21.0,0.0566004738063962,0.7255968996167929,0.4384087113547509,0.971536119599012,0.9672665375388636,0.0011189847658188,0.1132009476127924,2.6560936651218263,14.343906334878174,14:20
22.0,0.0593734998407197,0.7187959281894918,0.4277842871448162,0.9736780890854536,0.9697298024482718,0.0011355352314194,0.1187469996814394,2.631198276050747,14.368801723949254,14:22
23.0,0.0612227232835242,0.7998547833301659,0.4260712205304232,0.9754965976028316,0.9718210872432564,0.0011291572896558,0.1224454465670484,2.9279193780219352,14.072080621978063,14:04
24.0,0.0641576484775706,0.7637630798581663,0.4292132126117532,0.975755328539351,0.9721186278202536,0.001223057170607,0.1283152969551412,2.795803398741895,14.204196601258104,14:12
25.0,0.0713001125232576,0.777033119723782,0.4475876859380651,0.9741028193345818,0.970218242234769,0.0016179459456206,0.1426002250465152,2.844379224853597,14.155620775146405,14:09
26.0,0.0695814391692041,0.7750683563644232,0.4447153533178495,0.9745859960445494,0.9707738954512318,0.0015111491605389,0.1391628783384082,2.8371870834386983,14.162812916561302,14:09
27.0,0.0706206348221187,0.7269036906646329,0.4393118294156599,0.9715493329809016,0.967281732928037,0.0017413457732499,0.1412412696442374,2.660877256983422,14.339122743016578,14:20
28.0,0.0672951780342468,0.7743596005551067,0.437661614950475,0.9734928736322364,0.969516804677072,0.0014758449044039,0.1345903560684936,2.834592637657249,14.165407362342751,14:09
29.0,0.0673168112862799,0.7720552340007859,0.433703202462583,0.9707845549250218,0.9664022381637752,0.0016319225962487,0.1346336225725598,2.8261573571174856,14.173842642882514,14:10
30.0,0.0654850979343596,0.7612265950978755,0.4347711516573305,0.9707854065738826,0.9664032175599648,0.0015429358999661,0.1309701958687192,2.786518434725312,14.213481565274687,14:12
31.0,0.0624885033984895,0.7492357113966934,0.4263817611674881,0.9674771723019726,0.9625987481472684,0.0015678961338082,0.124977006796979,2.742625041224399,14.257374958775602,14:15
32.0,0.0667421164742176,0.6962992652962854,0.4343834522987279,0.9625432597731616,0.9569247487391356,0.0020617977097706,0.1334842329484352,2.548847808692653,14.451152191307347,14:27
33.0,0.0686238607457824,0.7179102272123749,0.4099748353335755,0.9645622121535774,0.959246543976614,0.0020614333212796,0.1372477214915648,2.627956111212729,14.372043888787273,14:22
34.0,0.0684368590528049,0.8083288296118275,0.4125540492365684,0.9718055858557432,0.9675764237341048,0.0016307452174541,0.1368737181056098,2.958939164157402,14.0410608358426,14:02
35.0,0.0687713337629441,0.6769617585634031,0.4149130959639183,0.9511245959261608,0.943793285315085,0.0028862920018413,0.1375426675258882,2.4780616336696,14.5219383663304,14:31
36.0,0.0668833413606782,0.8070977758605586,0.4068163104285671,0.9688355482799454,0.9641608805219372,0.0017267321997982,0.1337666827213564,2.954432813493698,14.045567186506302,14:02
37.0,0.0656112870934963,0.8561503106433874,0.4148927496121182,0.9686096818640612,0.9639011341436704,0.0016806362748503,0.1312225741869926,3.133992741276808,13.866007258723192,13:51
38.0,0.0705423163824735,0.7752951139914935,0.4046362927604505,0.9659771623523394,0.9608737367051904,0.0020978700403072,0.141084632764947,2.8380171441750357,14.161982855824965,14:09
39.0,0.0658766951069028,0.8219781847741444,0.4082643809457749,0.9700968026818592,0.965611323084138,0.0016071658734152,0.1317533902138056,3.008903498071693,13.991096501928308,13:59
40.0,0.075990462648313,0.8734433773755386,0.4075151513636096,0.9784998075496688,0.9752747786821192,0.0015305904339793,0.151980925296626,3.1972951134645244,13.802704886535476,13:48
41.0,0.0698321485439312,0.8596787040177445,0.4101547798331559,0.9705691587246494,0.9661545325333468,0.0017818753102088,0.1396642970878624,3.146908649950945,13.853091350049056,13:51
42.0,0.070591132620923,0.8179858628264026,0.4076632405499658,0.9665643716447572,0.9615490273914707,0.0020703108349709,0.141182265241846,2.9942893493065537,14.005710650693446,14:00
43.0,0.0698885408727879,0.8580612140534223,0.4010938834496627,0.9706058226272848,0.9661966960213776,0.0017822368175348,0.1397770817455758,3.140987724916806,13.859012275083192,13:51
44.0,0.0674362810261426,0.8152894487735084,0.4003239196522369,0.968457953877362,0.9637266469589664,0.0017785234515927,0.1348725620522852,2.984418953928321,14.01558104607168,14:00
45.0,0.0761244372794047,0.9102617604052352,0.4041689783789287,0.9747984941485496,0.9710182682708322,0.0018124190286825,0.1522488745588094,3.3320711495485447,13.667928850451457,13:40
46.0,0.0679620864303436,0.9449857574928572,0.4025283477965177,0.9744891855207812,0.9706625633488984,0.0014666428421216,0.1359241728606872,3.459180552497828,13.540819447502171,13:32
47.0,0.0691362503956036,0.9247224804064402,0.4026847184810045,0.9738289554455054,0.9699032987623312,0.0015557103928176,0.1382725007912072,3.385005536132316,13.614994463867683,13:36
48.0,0.0625346329464152,0.7507335490882602,0.3962917892912249,0.9752402791659828,0.9715263210408802,0.001186033220173,0.1250692658928304,2.7481079714933294,14.25189202850667,14:15
49.0,0.0661560041843283,0.9332077506353056,0.3973007223402515,0.9724424354271176,0.9683088007411854,0.001503051181087,0.1323120083686566,3.416066408241388,13.583933591758612,13:35
50.0,0.0710829185774938,0.91113315496484,0.4002733715394802,0.9746958270491276,0.9709002011064968,0.001587016217801,0.1421658371549876,3.335260944834068,13.664739055165931,13:39
51.0,0.0637751272478855,0.9069045564928624,0.3998441753017688,0.974893238303001,0.9711272240484512,0.0012668437799166,0.127550254495771,3.3197818908032484,13.680218109196751,13:40
52.0,0.0637410583990151,0.7634257989717516,0.3984879446273209,0.9800519456287976,0.9770597374731173,0.0009889009020568,0.1274821167980302,2.7945687605753786,14.20543123942462,14:12
53.0,0.056007796268185,0.7649570947647283,0.4052645752712202,0.9705663146718267,0.9661512618726008,0.0011377122276486,0.11201559253637,2.800174166355504,14.199825833644496,14:11
